# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
203264 99.25 0.968273408441698
203776 99.5 0.968273722523078
204288 99.75 0.968274012588963
204800 100 0.968274285909086
205312 100.25 0.968274544575793
205824 100.5 0.968274783986177
206336 100.75 0.96827499335503
206848 101 0.968275158862821
207360 101.25 0.968275269043686
207872 101.5 0.968275320397974
208384 101.75 0.968275320344325
208896 102 0.968275285629228
209408 102.25 0.968275236770895
209920 102.5 0.968275191268852
210432 102.75 0.968275158621074
210944 103 0.968275138700896
211456 103.25 0.968275123185165
211968 103.5 0.968275098830979
212480 103.75 0.968275051543305
212992 104 0.968274970446253
213504 104.25 0.968274850940676
214016 104.5 0.968274695435693
214528 104.75 0.968274511005059
215040 105 0.968274304812175
215552 105.25 0.968274079710673
216064 105.5 0.96827383255708
216576 105.75 0.968273556102469
217088 106 0.968273243009514
217600 106.25 0.968272889298
218112 106.5 0.968272495203813
218624 106.75 0.968272063368184
219136 107 0.968271595937171
219648 107.25 0.968271092472993
220160 107.5 0.968270549661986
220672 107.75 0.968269962588085
221184 108 0.968269326674513
221696 108.25 0.968268639424405
222208 108.5 0.968267901403089
222720 108.75 0.968267116131055
223232 109 0.968266288739108
223744 109.25 0.96826542363881
224256 109.5 0.968264522089475
224768 109.75 0.968263580957729
225280 110 0.968262593636105
225792 110.25 0.968261552975922
226304 110.5 0.968260454856516
226816 110.75 0.96825930055373
227328 111 0.968258096757516
227840 111.25 0.968256853416196
228352 111.5 0.968255580590205
228864 111.75 0.968254285588231
229376 112 0.968252971072675
229888 112.25 0.968251634290254
230400 112.5 0.968250267542426
230912 112.75 0.968248860167731
231424 113 0.968247402023186
231936 113.25 0.968245887536
232448 113.5 0.968244318494517
232960 113.75 0.968242703831194
233472 114 0.968241056059705
233984 114.25 0.968239385977799
234496 114.5 0.968237698350815
235008 114.75 0.968235990689054
235520 115 0.96823425533774
236032 115.25 0.968232483275356
236544 115.5 0.968230667474997
237056 115.75 0.968228804550907
237568 116 0.968226894760303
238080 116.25 0.968224941167754
238592 116.5 0.968222948571564
239104 116.75 0.968220922207558
239616 117 0.968218866080863
240128 117.25 0.968216781247073
240640 117.5 0.968214664929137
241152 117.75 0.968212511289438
241664 118 0.968210313810461
242176 118.25 0.968208068165325
242688 118.5 0.968205774026887
243200 118.75 0.968203434838922
243712 119 0.968201055753642
244224 119.25 0.968198640918866
244736 119.5 0.968196191503605
245248 119.75 0.968193705302932
245760 120 0.968191177920025
246272 120.25 0.968188604861222
246784 120.5 0.968185983612652
247296 120.75 0.968183314867016
247808 121 0.968180602430004
248320 121.25 0.968177851850663
248832 121.5 0.968175068339842
249344 121.75 0.968172254855591
249856 122 0.968169411173395
250368 122.25 0.96816653432899
250880 122.5 0.968163620224812
251392 122.75 0.968160665697251
251904 123 0.968157670137747
252416 123.25 0.968154635909342
252928 123.5 0.968151567275442
253440 123.75 0.968148468240113
253952 124 0.968145340319918
254464 124.25 0.968142181445791
254976 124.5 0.968138986680324
255488 124.75 0.96813575041226
256000 125 0.968132468787081
256512 125.25 0.968129141015332
257024 125.5 0.968125768998332
257536 125.75 0.96812235583339
258048 126 0.968118904347593
258560 126.25 0.968115416465284
259072 126.5 0.968111893345679
259584 126.75 0.968108335644283
260096 127 0.968104743411441
260608 127.25 0.968101115759391
261120 127.5 0.968097450824092
261632 127.75 0.96809374633878
262144 128 0.968090000581288
262656 128.25 0.968086213128692
263168 128.5 0.968082385033252
263680 128.75 0.968078518475437
264192 129 0.968074616203944
264704 129.25 0.968070680976611
265216 129.5 0.968066715009467
265728 129.75 0.968062719429645
266240 130 0.968058693917759
266752 130.25 0.968054636837367
267264 130.5 0.968050545962982
267776 130.75 0.968046419537056
268288 131 0.968042257135203
268800 131.25 0.968038059915794
269312 131.5 0.968033830193548
269824 131.75 0.96802957063766
270336 132 0.968025283541563
270848 132.25 0.968020970510143
271360 132.5 0.9680166326506
271872 132.75 0.968012271058778
272384 133 0.968007887200319
272896 133.25 0.968003482828056
273408 133.5 0.96799905938375
273920 133.75 0.967994617231828
274432 134 0.967990155259762
274944 134.25 0.967985671171029
275456 134.5 0.967981162335655
275968 134.75 0.967976626727751
276480 135 0.967972063535466
276992 135.25 0.967967473372486
277504 135.5 0.967962858283554
278016 135.75 0.967958221663989
278528 136 0.967953567925143
279040 136.25 0.967948901612921
279552 136.5 0.967944225976846
280064 136.75 0.967939541540816
280576 137 0.967934845575918
281088 137.25 0.967930133115138
281600 137.5 0.967925399298711
282112 137.75 0.967920641904337
282624 138 0.967915862590317
283136 138.25 0.967911066033824
283648 138.5 0.967906257466349
284160 138.75 0.967901440192624
284672 139 0.967896614664632
285184 139.25 0.96789177948896
285696 139.5 0.967886933281296
286208 139.75 0.967882075766545
286720 140 0.967877207404963
287232 140.25 0.967872328285336
287744 140.5 0.967867437675147
288256 140.75 0.967862534828163
288768 141 0.967857620232388
289280 141.25 0.96785269591908
289792 141.5 0.967847764379456
290304 141.75 0.967842827112734
290816 142 0.967837884270683
291328 142.25 0.967832935719233
291840 142.5 0.967827982262781
292352 142.75 0.967823025486965
292864 143 0.967818066109759
293376 143.25 0.967813102477078
293888 143.5 0.967808131024699
294400 143.75 0.967803148787708
294912 144 0.967798155993948
295424 144.25 0.967793156462436
295936 144.5 0.967788155337367
296448 144.75 0.967783155960528
296960 145 0.967778158332401
297472 145.25 0.967773160135016
297984 145.5 0.967768159157984
298496 145.75 0.967763155092225
299008 146 0.967758149578526
299520 146.25 0.967753144993812
300032 146.5 0.967748143237157
300544 146.75 0.96774314531536
301056 147 0.96773815161255
301568 147.25 0.967733162313158
302080 147.5 0.967728177688756
302592 147.75 0.967723198298612
303104 148 0.967718225138255
303616 148.25 0.967713259557807
304128 148.5 0.967708302805873
304640 148.75 0.967703355421079
305152 149 0.967698416982279
305664 149.25 0.967693486541496
306176 149.5 0.96768856351615
306688 149.75 0.967683648429517
