# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 10:55:07+0200
# parameter filename: "TOV_110_HLLE.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
# Run ID: run-TOV_110_HLLE-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-08.55.04-7683
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
26624 13 508.77982164848 516.795933669541 94.7763659954071 91.9847800731659 88.9945681095123 0 5.84452128410339 156 290131.127984133 290131.127984133 26687648 26687648 209011.273220499 209011.273220499 19225856 19225856 759.971221187023 1554533.58581196 15798.3730671111 1538735.21274485 4476 9320024 91544 9228480 0 0 0 0 94.3892917633057 1718182599.07249 33494
27136 13.25 508.948857600441 516.644829865069 96.5141658782959 93.7225799560547 90.656468629837 0 5.86240911483765 159 290227.520547921 290227.520547921 27200872 27200872 209080.714692106 209080.714692106 19595584 19595584 767.878538137731 1591281.6256341 15836.5985924599 1575445.02704164 4502 9321457 92977 9228480 0 0 0 0 96.1202988624573 1718182600.81029 34133
27648 13.5 508.210841527154 516.466299452684 98.4211869239807 95.6296010017395 92.5063469409943 0 5.94401001930237 162 289806.667702147 289806.667702147 27714096 27714096 208777.531129057 208777.531129057 19965312 19965312 770.942242413398 1577624.08228134 15938.5545967721 1561685.52768457 4600 9340530 94482 9246048 0 0 0 0 98.0202782154083 1718182602.71731 34772
28160 13.75 508.850069694145 516.327569100282 100.069748878479 97.2781629562378 94.1123378276825 0 5.96215105056763 165 290171.18685412 290171.18685412 28227320 28227320 209040.131742085 209040.131742085 20335040 20335040 775.840371025269 1568097.77273149 16073.2571889928 1552024.5155425 4626 9342015 95967 9246048 0 0 0 0 99.6615033149719 1718182604.36587 35411
28672 14 508.874565513331 516.189623856625 101.833674907684 99.0420889854431 95.7895822525024 0 6.10929536819458 168 290185.155567793 290185.155567793 28740544 28740544 209050.194842347 209050.194842347 20704768 20704768 781.920508109381 1597319.82131724 16091.9108208266 1581227.91049642 4808 9986374 97462 9888912 0 0 0 0 101.418581962585 1718182606.1298 36050
29184 14.25 509.207063543237 516.062318027143 103.536457061768 100.744871139526 97.4122803211212 0 6.12831902503967 171 290374.762199905 290374.762199905 29253768 29253768 209186.787988571 209186.787988571 21074496 21074496 788.677434461212 1630848.75289636 16115.4721980776 1614733.28069828 4834 9987815 98903 9888912 0 0 0 0 103.113651037216 1718182607.83258 36689
29696 14.5 509.629258800321 515.948618771047 105.218986034393 102.427400112152 99.0417387485504 0 6.2076404094696 174 290615.518576151 290615.518576151 29766992 29766992 209360.229553028 209360.229553028 21444224 21444224 791.938508146105 1618479.96969669 16220.65547378 1602259.31422291 4932 10006884 100404 9906480 0 0 0 0 104.789215564728 1718182609.51511 37328
30208 14.75 510.197281872455 515.848373512247 106.868973016739 104.077387094498 100.648128032684 0 6.22473788261414 177 290939.433101898 290939.433101898 30280216 30280216 209593.578480154 209593.578480154 21813952 21813952 796.354838080393 1608810.06127836 16344.7249144809 1592465.33636388 4958 10008367 101887 9906480 0 0 0 0 106.431994915009 1718182611.1651 37967
30720 15 508.7821834067 515.711378999087 108.927377939224 106.135792016983 102.618124246597 0 6.37125182151794 180 290132.474774133 290132.474774133 30793440 30793440 209012.243451769 209012.243451769 22183680 22183680 801.679603708252 1635804.56624543 16354.7077082324 1619449.8585372 5140 10652728 103384 10549344 0 0 0 0 108.482719182968 1718182613.2235 38606
31232 15.25 509.475450208236 515.608972499191 110.549476861954 107.757890939713 104.164958000183 0 6.38842988014221 183 290527.809397413 290527.809397413 31306664 31306664 209297.043616212 209297.043616212 22553408 22553408 808.518247304295 1668717.60122662 16385.7296477603 1652331.87157886 5166 10654168 104824 10549344 0 0 0 0 110.0975522995 1718182614.8456 39245
31744 15.5 509.52086295247 515.507263593239 112.30623793602 109.514652013779 105.857783555984 0 6.49141430854797 186 290553.705964354 290553.705964354 31819888 31819888 209315.699575212 209315.699575212 22923136 22923136 810.116609675282 1653745.12581129 16456.0363997516 1637289.08941154 5264 10673232 106320 10566912 0 0 0 0 111.846603870392 1718182616.60236 39884
32256 15.75 507.860333814978 515.353148831659 114.436454057693 111.644868135452 107.929315328598 0 6.5119035243988 189 289606.791068731 289606.791068731 32333112 32333112 208633.539445271 208633.539445271 23292864 23292864 812.338605348098 1640430.21739662 16534.9171854765 1623895.30021114 5290 10674717 107805 10566912 0 0 0 0 113.969388008118 1718182618.73258 40523
32768 16 506.711606108303 515.197388043872 116.465713977814 113.674128055573 109.87238240242 0 6.65470743179321 192 288951.730370364 288951.730370364 32846336 32846336 208161.631892456 208161.631892456 23662592 23662592 817.492634545408 1666389.27139714 16547.7799428714 1649841.49145426 5472 11319079 109303 11209776 0 0 0 0 115.936271905899 1718182620.76184 41162
33280 16.25 506.941831613707 515.069848088974 118.189440965652 115.397855043411 111.523334264755 0 6.67055678367615 195 289083.016209015 289083.016209015 33359560 33359560 208256.210576525 208256.210576525 24032320 24032320 824.169225983218 1698189.2891808 16581.6427728531 1681607.64640795 5498 11320520 110744 11209776 0 0 0 0 117.707305908203 1718182622.48556 41801
