# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
173568 169.5 1.05173486896503
174080 170 1.05236104144409
174592 170.5 1.05324956690491
175104 171 1.05417690636273
175616 171.5 1.05369997286639
176128 172 1.05169682201525
176640 172.5 1.04907273258395
177152 173 1.04799141815095
177664 173.5 1.04890470330246
178176 174 1.04974413119383
178688 174.5 1.05014848190781
179200 175 1.04937777550642
179712 175.5 1.04854305271517
180224 176 1.04768106793999
180736 176.5 1.04682177519647
181248 177 1.04598201798202
181760 177.5 1.04505011445799
182272 178 1.04376025618697
182784 178.5 1.04208665979291
183296 179 1.04006660002975
183808 179.5 1.03795058489796
184320 180 1.0384008393227
184832 180.5 1.03873179557025
185344 181 1.03873521015994
185856 181.5 1.03686693347844
186368 182 1.03490164005122
186880 182.5 1.03395535461184
187392 183 1.03274784432362
187904 183.5 1.03169215130248
188416 184 1.0327979301854
188928 184.5 1.03368182631273
189440 185 1.03454485512753
189952 185.5 1.03538719741164
190464 186 1.03619399215925
190976 186.5 1.0369343017884
191488 187 1.03738590631325
192000 187.5 1.03682805693526
192512 188 1.03807137935475
193024 188.5 1.03911663839623
193536 189 1.04014833076434
194048 189.5 1.04115098388687
194560 190 1.04209845756824
195072 190.5 1.04267558622225
195584 191 1.04242116958926
196096 191.5 1.04186327527293
196608 192 1.0404380681703
197120 192.5 1.04071207576164
197632 193 1.04214842869603
198144 193.5 1.0431894265383
198656 194 1.04564286228293
199168 194.5 1.04797340121758
199680 195 1.05001678807655
200192 195.5 1.0513009181952
200704 196 1.05192029138535
201216 196.5 1.05226134349358
201728 197 1.05225865221208
202240 197.5 1.05176009712191
202752 198 1.05071273456412
203264 198.5 1.04778133917856
203776 199 1.04261617549499
204288 199.5 1.03775052370139
204800 200 1.03466176319796
205312 200.5 1.03396055168041
205824 201 1.0325522572075
206336 201.5 1.03031988002975
206848 202 1.02801149568782
207360 202.5 1.02809372475584
207872 203 1.02799279585334
208384 203.5 1.02761633931543
208896 204 1.02700599810742
209408 204.5 1.02743476708746
209920 205 1.02803086541269
210432 205.5 1.02860538457745
210944 206 1.02905462311877
211456 206.5 1.02847244894103
211968 207 1.02810739108248
212480 207.5 1.02881631257594
212992 208 1.0294259298293
213504 208.5 1.03001405825234
214016 209 1.03062525871629
214528 209.5 1.03096555990375
215040 210 1.03138374865589
215552 210.5 1.032410329166
216064 211 1.03323273341411
216576 211.5 1.03386854506133
217088 212 1.03529077284832
217600 212.5 1.03672581536325
218112 213 1.03808165333795
218624 213.5 1.03924251618091
219136 214 1.04015091454232
219648 214.5 1.04099165477206
220160 215 1.04182809724897
220672 215.5 1.04257067523538
221184 216 1.04298916854484
221696 216.5 1.04224478853413
222208 217 1.04333964385765
222720 217.5 1.04425165405079
223232 218 1.04504110701622
223744 218.5 1.04544057895782
224256 219 1.04702953417326
224768 219.5 1.04863226032175
225280 220 1.04993873754647
225792 220.5 1.05084990489117
226304 221 1.05164400415076
226816 221.5 1.0521314960202
227328 222 1.05141526905444
227840 222.5 1.0497177679456
228352 223 1.04746383308073
228864 223.5 1.04599104679785
229376 224 1.04535443432467
229888 224.5 1.04402891978386
230400 225 1.0447955548137
230912 225.5 1.04544246432189
231424 226 1.04591814348398
231936 226.5 1.04478489427027
232448 227 1.04205697999968
232960 227.5 1.04006987777566
233472 228 1.04028483975163
233984 228.5 1.0399731579074
234496 229 1.03843791422574
235008 229.5 1.03575184964078
235520 230 1.03498638530999
236032 230.5 1.03500258607777
236544 231 1.03480206889261
237056 231.5 1.03452009984001
237568 232 1.0349657351586
238080 232.5 1.03541616199558
238592 233 1.03587020540167
239104 233.5 1.0363264100574
239616 234 1.03678405058759
240128 234.5 1.03724201072931
240640 235 1.03773794189197
241152 235.5 1.03825614300324
241664 236 1.03874946494473
242176 236.5 1.03905036412992
242688 237 1.03934568362355
243200 237.5 1.03963476744311
243712 238 1.03991820019808
244224 238.5 1.0401974145517
244736 239 1.04047317128653
245248 239.5 1.04074612199177
245760 240 1.04101670756324
246272 240.5 1.04128572383133
246784 241 1.04155342915354
247296 241.5 1.04181729750084
247808 242 1.04207698099384
248320 242.5 1.04233242697222
248832 243 1.04256766431738
249344 243.5 1.04281141773699
249856 244 1.04305258688587
250368 244.5 1.04328950197209
250880 245 1.04352225525991
251392 245.5 1.04375042531476
251904 246 1.04397305380796
252416 246.5 1.04418870255842
252928 247 1.04439536098031
253440 247.5 1.04459039268228
253952 248 1.04477097109323
254464 248.5 1.04512045705392
254976 249 1.04566956538949
255488 249.5 1.04626464539048
256000 250 1.04807758127137
256512 250.5 1.04963434446823
257024 251 1.05120746858972
257536 251.5 1.05399678852973
258048 252 1.05674398608358
258560 252.5 1.05930790820438
259072 253 1.06124173752165
259584 253.5 1.06236492387726
260096 254 1.06321600829842
260608 254.5 1.06402899589422
261120 255 1.06402248840266
261632 255.5 1.06474167325618
262144 256 1.0664360832276
262656 256.5 1.06676137296896
263168 257 1.06666236774124
263680 257.5 1.06566878024347
264192 258 1.06432524135418
264704 258.5 1.06357945689587
265216 259 1.06297782683789
265728 259.5 1.06149524529587
266240 260 1.06067919398602
266752 260.5 1.06091920835831
267264 261 1.06025326225132
267776 261.5 1.05948962326431
268288 262 1.05836008287287
268800 262.5 1.05735590584229
269312 263 1.05650376768604
269824 263.5 1.0558334292958
270336 264 1.05513070949855
270848 264.5 1.05448885986096
271360 265 1.05384766722557
271872 265.5 1.05316469211477
272384 266 1.05244399426105
272896 266.5 1.05168650899108
273408 267 1.05136874066374
273920 267.5 1.05133575829534
274432 268 1.05122948949952
274944 268.5 1.05197411005025
275456 269 1.05271517705176
275968 269.5 1.05340856926367
276480 270 1.05397923161332
276992 270.5 1.05450309031791
277504 271 1.05498555814554
278016 271.5 1.05541529075385
278528 272 1.05578371674657
279040 272.5 1.05608249513787
279552 273 1.05694921333248
280064 273.5 1.05798158757757
280576 274 1.05886295938229
281088 274.5 1.05971833199883
281600 275 1.06054588486135
282112 275.5 1.06134531874496
282624 276 1.06211587657505
283136 276.5 1.0628563040709
283648 277 1.06356479516099
284160 277.5 1.06424072628913
284672 278 1.06488210346577
285184 278.5 1.06548994321801
285696 279 1.06605949940645
286208 279.5 1.06658516397445
286720 280 1.06706425710338
287232 280.5 1.06787578932283
287744 281 1.06885916428066
288256 281.5 1.06958135126621
288768 282 1.06939372859067
289280 282.5 1.07004690719038
289792 283 1.0713174418321
290304 283.5 1.07216118675018
290816 284 1.07270773324517
291328 284.5 1.07285653020438
291840 285 1.07191897606985
292352 285.5 1.07129966602299
292864 286 1.07197305816011
293376 286.5 1.07248090754362
293888 287 1.07283193113678
294400 287.5 1.07298272206556
294912 288 1.07286410782685
295424 288.5 1.07245067759647
295936 289 1.07167105220083
296448 289.5 1.07055605928376
296960 290 1.07003337145968
297472 290.5 1.07100440385512
297984 291 1.07179249171639
298496 291.5 1.07180763251736
299008 292 1.07164376581589
299520 292.5 1.07103671027481
300032 293 1.07053286546795
300544 293.5 1.07170998671098
301056 294 1.07266882851774
301568 294.5 1.07343445091673
302080 295 1.07395776695903
302592 295.5 1.07330835938943
303104 296 1.07051724460717
303616 296.5 1.06739451635469
304128 297 1.06402259823275
304640 297.5 1.06488953378853
305152 298 1.06597245151719
305664 298.5 1.06693217960286
306176 299 1.06783530919626
306688 299.5 1.06855452854946
307200 300 1.06906354219793
307712 300.5 1.06933347271828
308224 301 1.06900986214362
308736 301.5 1.06520843662301
309248 302 1.06136416453455
309760 302.5 1.05743492572075
310272 303 1.05359542458471
310784 303.5 1.04996893609884
311296 304 1.0496921383655
311808 304.5 1.05046537813077
312320 305 1.05123423035116
312832 305.5 1.05198405568326
313344 306 1.0531391414957
313856 306.5 1.05423984808642
314368 307 1.05519664846293
314880 307.5 1.05608514678811
315392 308 1.05490850458034
315904 308.5 1.05394241606269
316416 309 1.05615538883724
316928 309.5 1.05828582662009
317440 310 1.06033078629211
317952 310.5 1.06229802346448
318464 311 1.06419507582424
318976 311.5 1.06599218498453
319488 312 1.06758735644984
320000 312.5 1.06894457173724
320512 313 1.07008604633639
321024 313.5 1.07093199142035
321536 314 1.07144286380632
322048 314.5 1.07139514070008
322560 315 1.07252407645917
323072 315.5 1.07374110536405
323584 316 1.07462736977043
324096 316.5 1.07523968317163
324608 317 1.07559384320023
325120 317.5 1.07559111289404
325632 318 1.07535773754605
326144 318.5 1.0738320646522
326656 319 1.07219281243188
327168 319.5 1.07041796649183
327680 320 1.06854720648469
328192 320.5 1.06661285866041
328704 321 1.06457215994697
329216 321.5 1.06244434610247
329728 322 1.06029723877953
330240 322.5 1.05805844862666
330752 323 1.05864845153645
331264 323.5 1.05981747586099
331776 324 1.0608210254298
332288 324.5 1.06148092089927
332800 325 1.06183610948584
333312 325.5 1.06236278812906
333824 326 1.06324887501053
334336 326.5 1.06405338190589
334848 327 1.06473440557979
335360 327.5 1.06516408229894
335872 328 1.06478384587323
336384 328.5 1.06536497815632
336896 329 1.06574868138571
337408 329.5 1.06579840885574
337920 330 1.06548740597052
338432 330.5 1.06476449758581
338944 331 1.06344754021656
339456 331.5 1.06095867585577
339968 332 1.05836905377069
340480 332.5 1.05692969016121
340992 333 1.05482601010446
341504 333.5 1.05222128764956
342016 334 1.05049104677751
342528 334.5 1.04938703646387
343040 335 1.04725136085637
343552 335.5 1.04510703585602
344064 336 1.04542126883494
344576 336.5 1.04617923117334
345088 337 1.04678062172032
345600 337.5 1.04748356317771
346112 338 1.04845539105129
346624 338.5 1.04975352918234
347136 339 1.05064485319538
347648 339.5 1.05139447727723
348160 340 1.05202865109648
348672 340.5 1.0525499860895
349184 341 1.05281553336446
349696 341.5 1.05185469993725
350208 342 1.05113359430224
350720 342.5 1.05172051461176
351232 343 1.05200833966095
351744 343.5 1.05163326726946
352256 344 1.05236638701655
352768 344.5 1.05315217315377
353280 345 1.05414930849843
353792 345.5 1.05591230135374
354304 346 1.05816879162664
354816 346.5 1.06034560342597
355328 347 1.0624334855505
355840 347.5 1.06442325910664
356352 348 1.06628927186104
356864 348.5 1.06797766735754
357376 349 1.06942705783772
357888 349.5 1.07058668246664
358400 350 1.07141995041611
358912 350.5 1.07184211447736
359424 351 1.07153555858519
359936 351.5 1.07068404533789
360448 352 1.06892611526426
360960 352.5 1.06600135332139
361472 353 1.06234838085179
361984 353.5 1.05690164243337
362496 354 1.05340422976215
363008 354.5 1.05165930174243
363520 355 1.05109482158333
364032 355.5 1.05193443662746
364544 356 1.0524333155721
365056 356.5 1.05264064150243
365568 357 1.05252859426146
366080 357.5 1.05207041365694
366592 358 1.05126381313304
367104 358.5 1.05019012658543
367616 359 1.04887691453118
368128 359.5 1.04724912948229
368640 360 1.04770973525785
369152 360.5 1.04827640032372
369664 361 1.04872109925706
370176 361.5 1.0487883039345
370688 362 1.04873500388609
371200 362.5 1.04855924587468
371712 363 1.04813944744773
372224 363.5 1.04654787378265
372736 364 1.04481096765593
373248 364.5 1.04293152823851
373760 365 1.04242424685426
374272 365.5 1.04358515790742
374784 366 1.04455513286889
375296 366.5 1.0454817946894
375808 367 1.04631951147783
376320 367.5 1.04699202740181
376832 368 1.04752567109404
377344 368.5 1.04812938944019
377856 369 1.0489655310782
378368 369.5 1.04958971929617
378880 370 1.04969115768592
379392 370.5 1.04962533305149
379904 371 1.0494485315136
380416 371.5 1.04919708170914
380928 372 1.04890258487322
381440 372.5 1.04808408318992
381952 373 1.04693368500293
382464 373.5 1.04582999621105
382976 374 1.04504592872611
383488 374.5 1.04511296650134
384000 375 1.0450380338965
384512 375.5 1.04398957569872
385024 376 1.04275283855516
385536 376.5 1.04233870798052
386048 377 1.04191675178459
386560 377.5 1.04157241473307
387072 378 1.04288854583176
387584 378.5 1.04416538268102
388096 379 1.04540504907792
388608 379.5 1.04660942978127
389120 380 1.04778071445391
389632 380.5 1.04892031772948
390144 381 1.05002743231897
390656 381.5 1.05109123953099
391168 382 1.05205416366568
391680 382.5 1.05285420042541
392192 383 1.053463643687
392704 383.5 1.05414793191588
393216 384 1.05522276235947
393728 384.5 1.05677746937476
394240 385 1.05890587419087
394752 385.5 1.06096866015699
395264 386 1.06296942545425
395776 386.5 1.06491349189507
396288 387 1.06680316931209
396800 387.5 1.06863930915408
397312 388 1.0704166079404
397824 388.5 1.07211790729328
398336 389 1.07369904961701
398848 389.5 1.07511327789281
399360 390 1.07635790158727
399872 390.5 1.07743881554357
400384 391 1.0783496319136
400896 391.5 1.07905521476404
401408 392 1.07960477560558
401920 392.5 1.08002674459386
402432 393 1.08004651356023
402944 393.5 1.07949146548859
403456 394 1.07836679005337
403968 394.5 1.07673381274636
404480 395 1.07472909772254
404992 395.5 1.07239639144374
405504 396 1.06989181165546
406016 396.5 1.06727528521746
406528 397 1.06408436275217
407040 397.5 1.06087116232803
407552 398 1.05800748514477
408064 398.5 1.05557299583636
408576 399 1.05350972901897
409088 399.5 1.05258597698166
409600 400 1.05308527235385
