# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:15:37+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.15.35-10160
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
22016 21.5 2922.44709509474 2952.75137074487 29.0330131053925 26.4846539497375 24.6664958000183 0 4.36844754219055 129 388568.565763797 388568.565763797 10291104 10291104 190777.346367785 190777.346367785 5052672 5052672 830.410083463372 1123458.04606394 17764.0427313854 1105694.00333255 3630 4905804 77772 4828032 0 0 0 0 28.8116593360901 1717434964.34526 27743
22528 22 2916.89168739958 2951.88610561042 29.7005500793457 27.1521909236908 25.2660298347473 0 4.48984622955322 132 387829.918756648 387829.918756648 10530432 10530432 190414.689353445 190414.689353445 5170176 5170176 841.128192963703 1132281.4471568 17824.9270811839 1114456.52007562 3812 5332362 79242 5253120 0 0 0 0 29.4736416339874 1717434965.0128 28382
23040 22.5 2918.99087050848 2951.07116233129 30.2976751327515 27.7493159770966 25.8010590076447 0 4.49825024604797 135 388109.026142808 388109.026142808 10769760 10769760 190551.724026794 190551.724026794 5287680 5287680 852.641162449447 1186134.16213582 17895.6792755104 1168238.48286031 3838 5333796 80676 5253120 0 0 0 0 30.0662350654602 1717434965.60992 29021
23552 23 2920.63038649072 2950.4039759497 30.8984031677246 28.3500440120697 26.3658998012543 0 4.56077814102173 138 388327.016187806 388327.016187806 11009088 11009088 190658.751630114 190658.751630114 5405184 5405184 859.569135418864 1178212.25230742 18079.8541940887 1160132.39811334 3936 5349087 82143 5266944 0 0 0 0 30.6612856388092 1717434966.21065 29660
24064 23.5 2921.14474642042 2949.72926656632 31.5096080303192 28.9612488746643 26.9410588741302 0 4.57054233551025 141 388395.405484059 388395.405484059 11248416 11248416 190692.329046325 190692.329046325 5522688 5522688 866.358194841384 1171119.28034133 18249.1196109944 1152870.16073033 3962 5350522 83578 5266944 0 0 0 0 31.2670476436615 1717434966.82186 30299
24576 24 2918.17647643113 2949.05100066792 32.1558899879456 29.6075308322906 27.5209491252899 0 4.68650722503662 144 388000.744306283 388000.744306283 11487744 11487744 190498.560381424 190498.560381424 5640192 5640192 876.386586229847 1179268.98356763 18306.5981884792 1160962.38537915 4144 5777078 85046 5692032 0 0 0 0 31.9078814983368 1717434967.46814 30938
25088 24.5 2919.9476650821 2948.3886813558 32.7543799877167 30.2060208320618 28.0612654685974 0 4.69477462768555 147 388236.241549316 388236.241549316 11727072 11727072 190614.183576559 190614.183576559 5757696 5757696 887.683431339284 1231230.76934513 18383.3144596248 1212847.4548855 4170 5778512 86480 5692032 0 0 0 0 32.5016739368439 1717434968.06663 31577
25600 25 2922.8637776759 2947.87197191484 33.3400781154633 30.7917189598083 28.6126110553741 0 4.75463485717773 150 388623.967879787 388623.967879787 11966400 11966400 190804.547406683 190804.547406683 5875200 5875200 894.347849759593 1223692.92614192 18562.1600075931 1205130.76613433 4268 5793806 87950 5705856 0 0 0 0 33.0820689201355 1717434968.65233 32216
26112 25.5 2923.72899468049 2947.35663174517 33.9466180801392 31.3982589244843 29.1842520236969 0 4.7642810344696 153 388739.007132718 388739.007132718 12205728 12205728 190861.028772742 190861.028772742 5992704 5992704 900.812736601112 1216838.84256667 18725.1460604058 1198113.69650626 4294 5795234 89378 5705856 0 0 0 0 33.6831333637238 1717434969.25887 32855
26624 26 2920.1621132518 2946.81206978325 34.6013741493225 32.0530149936676 29.771665096283 0 4.88460159301758 156 388264.754577959 388264.754577959 12445056 12445056 190628.182753077 190628.182753077 6110208 6110208 909.785652043504 1223790.28117237 18768.6253984496 1205021.65577392 4476 6221788 90844 6130944 0 0 0 0 34.3323471546173 1717434969.91362 33494
27136 26.5 2920.23426003793 2946.24594286943 35.2169711589813 32.6686120033264 30.3256046772003 0 4.89333343505859 159 388274.347214643 388274.347214643 12684384 12684384 190632.892495276 190632.892495276 6227712 6227712 919.579429747048 1272244.88763601 18823.3697767164 1253421.51785929 4502 6223222 92278 6130944 0 0 0 0 34.9428441524506 1717434970.52922 34133
27648 27 2919.54948747301 2945.72680381037 35.841166973114 33.2928078174591 30.9145219326019 0 4.95453929901123 162 388183.299854411 388183.299854411 12923712 12923712 190588.190542238 190588.190542238 6345216 6345216 925.579164421804 1264487.28267878 18988.9872785063 1245498.29540027 4600 6238518 93750 6144768 0 0 0 0 35.5614981651306 1717434971.15342 34772
