# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
246784 241 8.48238272955819e-05
247296 241.5 8.52535304098821e-05
247808 242 8.56913399960891e-05
248320 242.5 8.61370513337601e-05
248832 243 8.65906863244545e-05
249344 243.5 8.70523451579643e-05
249856 244 8.75204840125031e-05
250368 244.5 8.79957352866585e-05
250880 245 8.84796681141897e-05
251392 245.5 8.89740058611576e-05
251904 246 8.94805208343441e-05
252416 246.5 9.00009366907576e-05
252928 247 9.0536854497936e-05
253440 247.5 9.10896770019582e-05
253952 248 9.16605378309199e-05
254464 248.5 9.2250306681578e-05
254976 249 9.28595146603056e-05
255488 249.5 9.34883142934984e-05
256000 250 9.41364878963143e-05
256512 250.5 9.48034881856697e-05
257024 251 9.54884896997846e-05
257536 251.5 9.61904343819988e-05
258048 252 9.69080985554853e-05
258560 252.5 9.76401800765167e-05
259072 253 9.83853644672477e-05
259584 253.5 9.91423795770071e-05
260096 254 9.99100709256718e-05
260608 254.5 0.000100687451807727
261120 255 0.000101473680002042
261632 255.5 0.000102268046891391
262144 256 0.000103070031496272
262656 256.5 0.000103879338918777
263168 257 0.000104695856570017
263680 257.5 0.000105519590028535
264192 258 0.000106350644913942
264704 258.5 0.000107189222923221
265216 259 0.000108035583578567
265728 259.5 0.000108889982475472
266240 260 0.00010975262965231
266752 260.5 0.00011062368271625
267264 261 0.000111503242492453
267776 261.5 0.000112391308455174
268288 262 0.000113287749378377
268800 262.5 0.000114192338055807
269312 263 0.000115104799803839
269824 263.5 0.000116024772734382
270336 264 0.000116951723743267
270848 264.5 0.000117884977410506
271360 265 0.000118823830613446
271872 265.5 0.00011976756949679
272384 266 0.000120715394499968
272896 266.5 0.000121666435621666
273408 267 0.000122619867121632
273920 267.5 0.000123574964147631
274432 268 0.000124531076702639
274944 268.5 0.000125487637582516
275456 269 0.00012644420452428
275968 269.5 0.000127400478538084
276480 270 0.000128356326958337
276992 270.5 0.000129311809805357
277504 271 0.000130267121772015
278016 271.5 0.000131222491199848
278528 272 0.000132178186369834
279040 272.5 0.000133134582598105
279552 273 0.000134092115160075
280064 273.5 0.000135051168698134
280576 274 0.000136012071556941
281088 274.5 0.000136975123711851
281600 275 0.000137940497010936
282112 275.5 0.00013890814718209
282624 276 0.000139877931009682
283136 276.5 0.000140849738063908
283648 277 0.000141823346989043
284160 277.5 0.000142798202925313
284672 278 0.000143773501704474
285184 278.5 0.000144748530547438
285696 279 0.000145722636539723
286208 279.5 0.000146694821803362
286720 280 0.000147663745146775
287232 280.5 0.000148627852583465
287744 281 0.000149585376010251
288256 281.5 0.000150534565452271
288768 282 0.000151473812952986
289280 282.5 0.000152402694877834
289792 283 0.000153324850110463
290304 283.5 0.000154238493169004
290816 284 0.000155140367508397
291328 284.5 0.000156026188817859
291840 285 0.000156890927663216
292352 285.5 0.000157732157978504
292864 286 0.000158547947552939
293376 286.5 0.000159336550681273
293888 287 0.000160096400221438
294400 287.5 0.000160826280715257
294912 288 0.000161525407859678
295424 288.5 0.000162193255754609
295936 289 0.000162829380329636
296448 289.5 0.000163433483928742
296960 290 0.000164005512747832
297472 290.5 0.000164545509377482
297984 291 0.00016505337723224
298496 291.5 0.000165528823236053
299008 292 0.000165971461467507
299520 292.5 0.000166380855627463
300032 293 0.000166755958499168
300544 293.5 0.000167075381260797
301056 294 0.000167327871018275
301568 294.5 0.000167514555828739
302080 295 0.000167637662414568
302592 295.5 0.000167700124443129
303104 296 0.00016770518189102
303616 296.5 0.00016765626915645
304128 297 0.000167557080255133
304640 297.5 0.000167411509956976
305152 298 0.000167223427201724
305664 298.5 0.000166996490977242
306176 299 0.000166734130305463
306688 299.5 0.000166439578176211
307200 300 0.000166115795584932
307712 300.5 0.000165765318418479
308224 301 0.00016539022698094
308736 301.5 0.000164992320808926
309248 302 0.00016457327692263
309760 302.5 0.000164134552674357
310272 303 0.000163677194085091
310784 303.5 0.000163201891614795
311296 304 0.000162709278365133
311808 304.5 0.000162200381218822
312320 305 0.000161678558542491
312832 305.5 0.000161153382265469
313344 306 0.000160626199646934
313856 306.5 0.000160096576775081
314368 307 0.000159563914570936
314880 307.5 0.000159027594340336
315392 308 0.000158486911381084
315904 308.5 0.000157941039571052
316416 309 0.000157388987048903
316928 309.5 0.000156829543069171
317440 310 0.000156261508840461
317952 310.5 0.000155683747016935
318464 311 0.000155095124655174
318976 311.5 0.000154494467227914
319488 312 0.000153880595734578
320000 312.5 0.000153252459269153
320512 313 0.000152609323488586
321024 313.5 0.000151950575728395
321536 314 0.000151275589156838
322048 314.5 0.00015058371785679
322560 315 0.000149874396824112
323072 315.5 0.000149147247711058
323584 316 0.000148402066838123
324096 316.5 0.000147638732811111
324608 317 0.00014685717457751
325120 317.5 0.000146057450820881
325632 318 0.000145239822921965
326144 318.5 0.000144404514465437
326656 319 0.000143544588751889
327168 319.5 0.000142653733886492
327680 320 0.000141733333990577
328192 320.5 0.000140785724479381
328704 321 0.000139813844130115
329216 321.5 0.000138820540746272
