# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 12 2024 at 12:32:20+0200
# parameter filename: "TOV_110_HLLE_res2.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
# Run ID: run-TOV_110_HLLE_res2-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.12-10.32.17-9411
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
140800 137.5 1.04090700603723
141312 138 1.04227393125785
141824 138.5 1.04369976535884
142336 139 1.04488522162842
142848 139.5 1.03466953595151
143360 140 1.03625739481311
143872 140.5 1.03782833590217
144384 141 1.03947538780467
144896 141.5 1.04115749160668
145408 142 1.04275097014574
145920 142.5 1.04434167781728
146432 143 1.04596420958172
146944 143.5 1.04751252696114
147456 144 1.01311968913644
147968 144.5 1.01351602337013
148480 145 1.01363412352757
148992 145.5 1.0146426565793
149504 146 1.01568538185706
150016 146.5 1.01676148315632
150528 147 1.01787182170279
151040 147.5 1.01901572054174
151552 148 1.02018927679172
152064 148.5 1.02139139055375
152576 149 1.0226288076144
153088 149.5 1.02386819785803
153600 150 1.02516203655521
154112 150.5 1.02647657287737
154624 151 1.02779239509824
155136 151.5 1.02914578467361
155648 152 1.03050097081232
156160 152.5 1.03187376692951
156672 153 1.03329518908079
157184 153.5 1.03471829172861
157696 154 1.02088934468941
158208 154.5 1.02213392833891
158720 155 1.02340803670772
159232 155.5 1.0247133379938
159744 156 1.02600633438805
160256 156.5 1.02717409782461
160768 157 1.02796995757996
161280 157.5 1.02791464507492
161792 158 1.02668380788999
162304 158.5 1.02807628367154
162816 159 1.02948924869565
163328 159.5 1.03090607334992
163840 160 1.0323008577018
164352 160.5 1.0336548156197
164864 161 1.03494882115688
165376 161.5 1.03621224452367
165888 162 1.03755776260865
166400 162.5 1.03887061785723
166912 163 1.04009071312792
167424 163.5 1.0411779502105
167936 164 1.04212383570247
168448 164.5 1.04298145014492
168960 165 1.04378859601115
169472 165.5 1.0444902214155
169984 166 1.01795672763747
170496 166.5 1.0189403847912
171008 167 1.01954203435132
171520 167.5 1.00918668956127
172032 168 1.0073282735482
172544 168.5 1.00539119450949
173056 169 1.00571260808174
173568 169.5 1.00640260542384
