# Scalar ASCII output created by CarpetIOScalar
# created on air-di-federico.homenet.telecomitalia.it by federicofantoccoli on Jun 03 2024 at 19:36:20+0200
# parameter filename: "TOV_100_pressure.par"
# Build ID: build-sim-macbook-air-di-federico.local-federicofantoccoli-2024.06.03-11.02.01-7801
# Simulation ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
# Run ID: run-TOV_100_pressure-air-di-federico.homenet.telecomitalia.it-federicofantoccoli-2024.06.03-17.36.18-10547
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
164864 161 0.000188034289847917 0.000188034289847459 0.000188034289847887
165376 161.5 0.000186679396272959 0.000186679396271697 0.000186679396272088
165888 162 0.000185338089560926 0.00018533808956099 0.000185338089560983
166400 162.5 0.000183950312109002 0.000183950312109922 0.000183950312109556
166912 163 0.000182505855434105 0.000182505855434161 0.000182505855433882
167424 163.5 0.000181060216533981 0.000181060216533537 0.000181060216533443
167936 164 0.000179673322875928 0.000179673322876015 0.000179673322875893
168448 164.5 0.000178336984906156 0.000178336984906286 0.000178336984906275
168960 165 0.000176983818430509 0.000176983818430361 0.000176983818430217
169472 165.5 0.000175574590905475 0.000175574590905617 0.000175574590905257
169984 166 0.000174147825805752 0.000174147825806076 0.000174147825806389
170496 166.5 0.000172762606438071 0.000172762606438023 0.000172762606438859
171008 167 0.000171423059050108 0.00017142305904987 0.000171423059049863
171520 167.5 0.000170092532908831 0.000170092532908731 0.000170092532908073
172032 168 0.00016875617476381 0.000168756174763873 0.000168756174763691
172544 168.5 0.000167426327324589 0.000167426327324875 0.000167426327324985
173056 169 0.00016610057513675 0.00016610057513684 0.000166100575136857
173568 169.5 0.000164762602669397 0.000164762602668957 0.000164762602669247
174080 170 0.000163431801061081 0.000163431801060997 0.000163431801061142
174592 170.5 0.000162168569518378 0.000162168569519202 0.000162168569518585
175104 171 0.000160994590545261 0.000160994590545642 0.00016099459054517
175616 171.5 0.000159839539541039 0.000159839539539933 0.000159839539540454
176128 172 0.000158617839848827 0.000158617839847746 0.0001586178398484
176640 172.5 0.000157344474275357 0.000157344474275769 0.000157344474275657
177152 173 0.000156117894493935 0.000156117894494854 0.000156117894494436
177664 173.5 0.000154989148260589 0.000154989148261111 0.00015498914826071
178176 174 0.00015390869555662 0.00015390869555683 0.000153908695556471
178688 174.5 0.000152814100638036 0.000152814100637488 0.000152814100637697
179200 175 0.000151710033808993 0.000151710033808139 0.000151710033808654
179712 175.5 0.000150634947727618 0.000150634947727803 0.000150634947727844
180224 176 0.000149594756167945 0.000149594756168652 0.000149594756168509
